MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210713,CA,0.00,0.00,5.25,9.02,52.41,33.32,2021-07-13,2021-07-19,2
20210706,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-07-06,2021-07-12,2
20210629,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-06-29,2021-07-05,2
20210622,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-06-22,2021-06-28,2
20210615,CA,0.00,0.00,5.25,9.31,52.12,33.32,2021-06-15,2021-06-21,2
20210608,CA,0.00,0.00,5.25,9.55,51.88,33.32,2021-06-08,2021-06-14,2
20210601,CA,0.00,0.00,5.39,20.15,48.41,26.04,2021-06-01,2021-06-07,2
20210525,CA,0.00,0.00,5.39,20.15,48.41,26.04,2021-05-25,2021-05-31,2
20210518,CA,0.00,0.00,5.69,20.98,57.42,15.91,2021-05-18,2021-05-24,2
20210511,CA,0.00,0.00,5.69,20.98,59.81,13.53,2021-05-11,2021-05-17,2
20210504,CA,0.00,2.48,4.63,19.58,67.94,5.36,2021-05-04,2021-05-10,2
20210427,CA,0.00,2.49,9.56,35.09,47.50,5.36,2021-04-27,2021-05-03,2
20210420,CA,0.00,3.46,11.17,35.51,44.50,5.36,2021-04-20,2021-04-26,2
20210413,CA,0.78,5.09,17.16,38.29,33.32,5.36,2021-04-13,2021-04-19,2
20210406,CA,0.77,6.58,22.97,34.27,30.06,5.36,2021-04-06,2021-04-12,2
20210330,CA,0.77,8.57,26.64,32.26,26.40,5.36,2021-03-30,2021-04-05,2
20210323,CA,0.70,8.64,26.64,32.26,26.40,5.36,2021-03-23,2021-03-29,2
20210316,CA,0.78,8.60,32.03,29.05,25.79,3.75,2021-03-16,2021-03-22,2
20210309,CA,0.75,8.36,32.30,29.05,25.79,3.75,2021-03-09,2021-03-15,2
20210302,CA,0.75,8.36,33.91,27.44,25.79,3.75,2021-03-02,2021-03-08,2
20210223,CA,0.70,14.41,27.90,27.44,25.79,3.75,2021-02-23,2021-03-01,2
20210216,CA,0.70,14.41,27.30,26.59,27.24,3.75,2021-02-16,2021-02-22,2
20210209,CA,0.64,14.26,27.23,26.46,27.66,3.75,2021-02-09,2021-02-15,2
20210202,CA,0.00,14.01,27.54,26.79,27.90,3.75,2021-02-02,2021-02-08,2
20210126,CA,0.00,4.80,19.46,36.28,35.60,3.86,2021-01-26,2021-02-01,2
20210119,CA,0.00,4.80,17.08,38.66,38.27,1.19,2021-01-19,2021-01-25,2
20210112,CA,0.00,4.80,16.10,39.60,38.31,1.19,2021-01-12,2021-01-18,2
20210105,CA,0.00,4.80,20.85,40.51,32.65,1.19,2021-01-05,2021-01-11,2
20201229,CA,0.00,4.83,20.82,40.59,32.56,1.19,2020-12-29,2021-01-04,2
20211228,CO,0.00,0.00,32.73,45.06,22.21,0.00,2021-12-28,2022-01-03,2
20211221,CO,0.00,0.17,22.85,54.98,22.00,0.00,2021-12-21,2021-12-27,2
20211214,CO,0.00,0.14,31.96,48.72,19.18,0.00,2021-12-14,2021-12-20,2
20211207,CO,0.00,0.13,32.01,48.67,19.18,0.00,2021-12-07,2021-12-13,2
20211130,CO,0.00,4.55,43.15,37.96,14.34,0.00,2021-11-30,2021-12-06,2
20211123,CO,0.00,11.90,47.26,32.08,8.75,0.00,2021-11-23,2021-11-29,2
20211116,CO,2.51,19.78,38.35,33.25,6.10,0.00,2021-11-16,2021-11-22,2
20211109,CO,4.39,18.83,43.32,26.52,6.93,0.00,2021-11-09,2021-11-15,2
20211102,CO,4.44,18.79,46.31,23.53,6.93,0.00,2021-11-02,2021-11-08,2
20211026,CO,4.44,20.67,45.16,18.60,9.18,1.95,2021-10-26,2021-11-01,2
20211019,CO,5.19,28.82,36.54,15.81,11.68,1.95,2021-10-19,2021-10-25,2
20211012,CO,5.26,28.76,36.70,15.66,11.68,1.95,2021-10-12,2021-10-18,2
20211005,CO,10.34,35.56,27.51,13.63,11.02,1.95,2021-10-05,2021-10-11,2
20210928,CO,12.72,40.85,20.12,11.25,11.14,3.91,2021-09-28,2021-10-04,2
20210921,CO,16.92,42.15,16.36,9.53,11.14,3.91,2021-09-21,2021-09-27,2
20210914,CO,34.60,28.34,12.58,9.43,11.14,3.91,2021-09-14,2021-09-20,2
20210907,CO,47.43,16.10,11.99,9.43,11.14,3.91,2021-09-07,2021-09-13,2
20210831,CO,49.43,14.11,12.03,9.39,11.14,3.91,2021-08-31,2021-09-06,2
20210824,CO,49.27,14.11,12.17,9.39,11.14,3.91,2021-08-24,2021-08-30,2
20210817,CO,48.62,14.14,9.20,7.67,13.99,6.38,2021-08-17,2021-08-23,2
20210810,CO,53.18,12.39,6.39,7.67,13.99,6.38,2021-08-10,2021-08-16,2
20210803,CO,56.64,8.84,4.92,8.65,14.57,6.38,2021-08-03,2021-08-09,2
20210727,CO,56.19,5.65,5.17,6.17,11.38,15.43,2021-07-27,2021-08-02,2
20210720,CO,54.43,4.55,4.79,8.07,9.83,18.32,2021-07-20,2021-07-26,2
20210713,CO,54.44,4.57,4.77,6.28,11.62,18.32,2021-07-13,2021-07-19,2
20210706,CO,54.48,4.01,5.14,6.41,12.44,17.52,2021-07-06,2021-07-12,2
20210629,CO,54.48,3.90,5.25,6.41,12.44,17.52,2021-06-29,2021-07-05,2
20210622,CO,54.41,3.97,5.25,6.02,12.62,17.73,2021-06-22,2021-06-28,2
20210615,CO,54.98,3.60,5.88,5.67,12.33,17.53,2021-06-15,2021-06-21,2
20210608,CO,54.98,3.60,5.88,6.39,11.62,17.53,2021-06-08,2021-06-14,2
20210601,CO,51.10,5.55,7.83,6.38,12.76,16.39,2021-06-01,2021-06-07,2
20210525,CO,33.83,19.95,10.69,6.38,12.76,16.39,2021-05-25,2021-05-31,2
20210518,CO,23.30,24.90,12.51,10.33,12.58,16.39,2021-05-18,2021-05-24,2
20210511,CO,13.05,11.76,31.92,13.82,13.07,16.39,2021-05-11,2021-05-17,2
20210504,CO,7.84,12.30,28.00,20.85,14.62,16.39,2021-05-04,2021-05-10,2
20210427,CO,1.19,9.68,28.68,28.32,15.45,16.68,2021-04-27,2021-05-03,2
20210420,CO,1.19,9.68,28.68,28.32,17.48,14.65,2021-04-20,2021-04-26,2
20210413,CO,0.00,7.69,30.62,29.56,17.48,14.65,2021-04-13,2021-04-19,2
20210406,CO,0.00,7.69,30.62,29.56,17.48,14.65,2021-04-06,2021-04-12,2
20210330,CO,0.00,7.69,30.62,29.56,17.48,14.65,2021-03-30,2021-04-05,2
20210323,CO,0.00,7.38,30.49,30.00,17.03,15.10,2021-03-23,2021-03-29,2
20210316,CO,0.00,4.24,24.29,32.83,23.54,15.10,2021-03-16,2021-03-22,2
20210309,CO,0.00,1.43,9.81,32.12,40.75,15.89,2021-03-09,2021-03-15,2
20210302,CO,0.00,1.43,9.81,32.10,40.77,15.89,2021-03-02,2021-03-08,2
20210223,CO,0.00,1.43,9.81,31.84,41.03,15.89,2021-02-23,2021-03-01,2
20210216,CO,0.00,0.00,9.76,31.33,41.13,17.78,2021-02-16,2021-02-22,2
20210209,CO,0.00,0.00,9.76,20.13,45.32,24.79,2021-02-09,2021-02-15,2
20210202,CO,0.00,0.00,9.76,19.51,45.94,24.79,2021-02-02,2021-02-08,2
20210126,CO,0.00,0.00,9.35,17.54,48.21,24.91,2021-01-26,2021-02-01,2
20210119,CO,0.00,0.00,8.94,17.43,46.04,27.59,2021-01-19,2021-01-25,2
20210112,CO,0.00,0.00,8.97,17.40,46.04,27.59,2021-01-12,2021-01-18,2
20210105,CO,0.00,0.00,6.27,17.56,48.57,27.60,2021-01-05,2021-01-11,2
20201229,CO,0.00,0.00,6.27,17.56,48.57,27.60,2020-12-29,2021-01-04,2
20211228,NM,0.00,2.21,22.07,54.81,20.91,0.00,2021-12-28,2022-01-03,2
20211221,NM,0.00,2.09,28.00,46.96,22.94,0.00,2021-12-21,2021-12-27,2
20211214,NM,0.00,2.90,27.22,50.63,19.25,0.00,2021-12-14,2021-12-20,2
20211207,NM,0.00,3.15,26.99,50.76,19.10,0.00,2021-12-07,2021-12-13,2
20211130,NM,0.15,5.66,24.68,50.49,19.01,0.00,2021-11-30,2021-12-06,2
20211123,NM,0.15,11.27,32.44,41.72,14.42,0.00,2021-11-23,2021-11-29,2
20211116,NM,0.15,17.08,31.24,40.32,11.20,0.00,2021-11-16,2021-11-22,2
20211109,NM,0.15,19.69,28.63,40.32,11.20,0.00,2021-11-09,2021-11-15,2
20211102,NM,0.19,21.67,26.62,40.32,11.20,0.00,2021-11-02,2021-11-08,2
20211026,NM,1.15,20.72,27.78,39.15,11.20,0.00,2021-10-26,2021-11-01,2
20211019,NM,5.43,18.06,26.15,39.09,11.27,0.00,2021-10-19,2021-10-25,2
20211012,NM,6.72,16.77,26.27,38.98,11.27,0.00,2021-10-12,2021-10-18,2
20211005,NM,10.17,14.21,26.58,33.13,15.91,0.00,2021-10-05,2021-10-11,2
20210928,NM,10.70,9.82,30.14,30.22,19.12,0.00,2021-09-28,2021-10-04,2
20210921,NM,10.82,9.75,30.57,29.75,19.12,0.00,2021-09-21,2021-09-27,2
20210914,NM,11.03,11.83,29.47,28.56,19.12,0.00,2021-09-14,2021-09-20,2
20210907,NM,13.56,10.59,28.17,28.56,19.12,0.00,2021-09-07,2021-09-13,2
20210831,NM,13.53,10.62,25.80,28.87,21.18,0.00,2021-08-31,2021-09-06,2
20210824,NM,13.64,10.69,20.68,32.46,22.17,0.36,2021-08-24,2021-08-30,2
20210817,NM,12.94,7.69,16.77,39.21,21.71,1.68,2021-08-17,2021-08-23,2
20210810,NM,12.63,7.49,13.16,36.20,26.02,4.50,2021-08-10,2021-08-16,2
20210803,NM,12.14,7.53,13.32,35.69,23.99,7.32,2021-08-03,2021-08-09,2
20210727,NM,7.68,10.56,15.20,29.34,28.21,9.01,2021-07-27,2021-08-02,2
20210720,NM,7.15,9.32,12.56,26.17,23.27,21.53,2021-07-20,2021-07-26,2
20210713,NM,7.10,7.46,14.47,24.17,22.08,24.73,2021-07-13,2021-07-19,2
20210706,NM,3.62,8.18,11.08,27.78,23.66,25.67,2021-07-06,2021-07-12,2
20210629,NM,1.04,6.09,8.00,26.07,28.33,30.47,2021-06-29,2021-07-05,2
20210622,NM,1.04,4.85,6.63,24.43,31.22,31.84,2021-06-22,2021-06-28,2
20210615,NM,2.00,5.37,4.29,24.16,30.91,33.26,2021-06-15,2021-06-21,2
20210608,NM,2.06,4.53,4.59,24.05,31.50,33.26,2021-06-08,2021-06-14,2
20210601,NM,0.01,0.96,4.26,20.79,33.29,40.68,2021-06-01,2021-06-07,2
20210525,NM,0.01,0.53,4.58,20.17,27.99,46.72,2021-05-25,2021-05-31,2
20210518,NM,0.00,0.33,2.78,19.38,29.69,47.82,2021-05-18,2021-05-24,2
20210511,NM,0.00,0.00,0.63,18.88,28.37,52.12,2021-05-11,2021-05-17,2
20210504,NM,0.00,0.00,0.63,18.87,28.39,52.12,2021-05-04,2021-05-10,2
20210427,NM,0.00,0.00,0.63,18.44,27.77,53.16,2021-04-27,2021-05-03,2
20210420,NM,0.00,0.00,0.63,19.49,26.37,53.50,2021-04-20,2021-04-26,2
20210413,NM,0.00,0.00,0.65,19.47,26.37,53.50,2021-04-13,2021-04-19,2
20210406,NM,0.00,0.00,0.65,19.47,26.37,53.50,2021-04-06,2021-04-12,2
20210330,NM,0.00,0.00,0.65,19.47,26.59,53.28,2021-03-30,2021-04-05,2
20210323,NM,0.00,0.00,0.32,19.48,26.82,53.38,2021-03-23,2021-03-29,2
20210316,NM,0.00,0.00,0.09,18.25,27.86,53.80,2021-03-16,2021-03-22,2
20210309,NM,0.00,0.00,0.09,17.62,28.49,53.80,2021-03-09,2021-03-15,2
20210302,NM,0.00,0.00,0.09,17.73,28.03,54.15,2021-03-02,2021-03-08,2
20210223,NM,0.00,0.00,0.09,17.87,27.79,54.24,2021-02-23,2021-03-01,2
20210216,NM,0.00,0.00,0.07,17.70,27.98,54.24,2021-02-16,2021-02-22,2
20210209,NM,0.00,0.00,0.07,17.62,28.07,54.24,2021-02-09,2021-02-15,2
20210202,NM,0.00,0.04,0.39,17.74,27.79,54.03,2021-02-02,2021-02-08,2
20210126,NM,0.00,0.04,0.39,17.53,27.79,54.25,2021-01-26,2021-02-01,2
20210119,NM,0.00,0.04,0.39,16.95,28.35,54.27,2021-01-19,2021-01-25,2
20210112,NM,0.00,0.04,0.39,17.46,29.18,52.93,2021-01-12,2021-01-18,2
20210105,NM,0.00,0.04,0.38,17.32,29.06,53.20,2021-01-05,2021-01-11,2
20201229,NM,0.00,0.03,0.38,17.32,29.06,53.20,2020-12-29,2021-01-04,2
20211228,WY,0.00,3.29,35.41,47.10,14.20,0.00,2021-12-28,2022-01-03,2
20211221,WY,0.00,3.29,33.40,48.47,14.84,0.00,2021-12-21,2021-12-27,2
20211214,WY,0.00,3.30,35.97,43.86,16.87,0.00,2021-12-14,2021-12-20,2
20211207,WY,0.00,2.23,33.23,47.67,16.87,0.00,2021-12-07,2021-12-13,2
20211130,WY,0.00,3.39,32.10,47.63,16.87,0.00,2021-11-30,2021-12-06,2
20211123,WY,0.00,7.18,28.48,53.10,11.24,0.00,2021-11-23,2021-11-29,2
20211116,WY,0.00,7.93,29.49,51.65,10.93,0.00,2021-11-16,2021-11-22,2
20211109,WY,0.00,7.93,28.55,50.63,12.89,0.00,2021-11-09,2021-11-15,2
20211102,WY,0.00,7.93,28.55,49.92,13.60,0.00,2021-11-02,2021-11-08,2
20211026,WY,0.00,5.89,29.88,47.19,17.04,0.00,2021-10-26,2021-11-01,2
20211019,WY,0.00,2.10,33.67,42.20,22.03,0.00,2021-10-19,2021-10-25,2
20211012,WY,0.00,2.10,24.81,42.96,30.13,0.00,2021-10-12,2021-10-18,2
20211005,WY,0.00,2.10,27.54,37.37,32.99,0.00,2021-10-05,2021-10-11,2
20210928,WY,0.00,2.11,27.53,41.07,29.27,0.02,2021-09-28,2021-10-04,2
20210921,WY,0.00,3.24,32.84,38.68,25.22,0.02,2021-09-21,2021-09-27,2
20210914,WY,0.00,3.24,32.84,37.02,26.88,0.02,2021-09-14,2021-09-20,2
20210907,WY,0.23,3.77,33.07,36.02,26.88,0.02,2021-09-07,2021-09-13,2
20210831,WY,0.22,3.78,35.50,33.59,26.88,0.02,2021-08-31,2021-09-06,2
20210824,WY,0.23,4.83,35.01,29.40,30.51,0.02,2021-08-24,2021-08-30,2
20210817,WY,0.42,5.27,34.38,29.40,30.51,0.02,2021-08-17,2021-08-23,2
20210810,WY,1.89,5.05,32.30,30.56,30.17,0.02,2021-08-10,2021-08-16,2
20210803,WY,2.07,5.11,31.94,25.75,35.11,0.02,2021-08-03,2021-08-09,2
20210727,WY,2.16,5.02,31.82,27.54,33.40,0.08,2021-07-27,2021-08-02,2
20210720,WY,2.31,10.14,29.80,24.28,33.40,0.08,2021-07-20,2021-07-26,2
20210713,WY,2.52,13.60,28.93,38.10,16.77,0.08,2021-07-13,2021-07-19,2
20210706,WY,2.50,13.59,28.86,45.47,9.58,0.00,2021-07-06,2021-07-12,2
20210629,WY,2.44,13.62,30.84,44.12,8.98,0.00,2021-06-29,2021-07-05,2
20210622,WY,2.40,18.95,36.29,33.62,8.74,0.00,2021-06-22,2021-06-28,2
20210615,WY,7.91,19.14,41.66,24.96,6.32,0.00,2021-06-15,2021-06-21,2
20210608,WY,9.76,17.96,45.16,20.79,6.32,0.00,2021-06-08,2021-06-14,2
20210601,WY,10.89,21.05,43.78,22.31,1.98,0.00,2021-06-01,2021-06-07,2
20210525,WY,10.89,22.56,41.69,22.89,1.98,0.00,2021-05-25,2021-05-31,2
20210518,WY,10.89,18.36,43.60,25.15,2.01,0.00,2021-05-18,2021-05-24,2
20210511,WY,10.54,8.73,46.92,30.07,3.74,0.00,2021-05-11,2021-05-17,2
20210504,WY,5.39,12.87,36.76,39.77,5.20,0.00,2021-05-04,2021-05-10,2
20210427,WY,5.40,9.82,39.89,38.93,5.97,0.00,2021-04-27,2021-05-03,2
20210420,WY,6.60,9.69,42.70,35.04,5.97,0.00,2021-04-20,2021-04-26,2
20210413,WY,2.71,16.61,34.18,28.10,18.39,0.00,2021-04-13,2021-04-19,2
20210406,WY,1.44,26.06,25.73,28.34,18.44,0.00,2021-04-06,2021-04-12,2
20210330,WY,2.16,26.75,24.40,28.25,18.44,0.00,2021-03-30,2021-04-05,2
20210323,WY,3.69,25.22,24.40,27.36,19.33,0.00,2021-03-23,2021-03-29,2
20210316,WY,2.26,26.29,24.58,27.55,19.33,0.00,2021-03-16,2021-03-22,2
20210309,WY,2.23,11.20,27.00,39.21,20.35,0.00,2021-03-09,2021-03-15,2
20210302,WY,2.23,6.52,31.42,39.30,20.54,0.00,2021-03-02,2021-03-08,2
20210223,WY,2.21,6.54,30.29,38.25,22.71,0.00,2021-02-23,2021-03-01,2
20210216,WY,2.21,6.54,27.66,38.79,24.80,0.00,2021-02-16,2021-02-22,2
20210209,WY,2.21,6.54,23.06,39.35,28.84,0.00,2021-02-09,2021-02-15,2
20210202,WY,2.21,6.54,21.89,39.06,30.31,0.00,2021-02-02,2021-02-08,2
20210126,WY,4.21,5.96,21.68,42.37,25.78,0.00,2021-01-26,2021-02-01,2
20210119,WY,4.21,6.90,34.52,28.59,25.42,0.36,2021-01-19,2021-01-25,2
20210112,WY,4.26,7.50,34.00,28.46,25.42,0.36,2021-01-12,2021-01-18,2
20210105,WY,4.26,8.28,33.25,28.44,25.42,0.36,2021-01-05,2021-01-11,2
20201229,WY,4.27,8.29,33.22,28.44,25.42,0.36,2020-12-29,2021-01-04,2
